ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,speed,density,F10.7,група
2017-08-30 07:00:00,0.9867500000000001,2.71,0.25875,0.376,0.19825,0.337,0.09375,0.167,0.07768333333333334,0.156,0.03779166666666667,0.0616,1430.0,2220.0,18.933333333333334,31.6,349.0,3.6,87.0,тиха
2017-08-30 08:00:00,1.0475,2.01,0.26316666666666666,0.568,0.17533333333333334,0.237,0.09761666666666667,0.16,0.07515,0.15,0.03438333333333333,0.0576,2310.8333333333335,2680.0,31.008333333333336,38.0,350.0,3.5,87.0,тиха
2017-08-30 09:00:00,0.8761666666666666,1.41,0.2333333333333333,0.377,0.16691666666666669,0.248,0.08435,0.183,0.06613333333333334,0.14,0.031466666666666664,0.0515,2046.6666666666667,2170.0,26.125,30.2,349.0,2.9,87.0,тиха
2017-08-30 10:00:00,0.7680833333333333,1.05,0.22141666666666668,0.428,0.1749166666666667,0.388,0.09000833333333334,0.154,0.07177499999999999,0.144,0.036283333333333334,0.0607,2173.3333333333335,2250.0,26.558333333333334,32.4,346.0,3.9,87.0,тиха
2017-08-30 11:00:00,0.8050833333333333,1.05,0.21816666666666665,0.345,0.17616666666666667,0.306,0.09010833333333333,0.182,0.07258333333333333,0.145,0.03671666666666667,0.0755,2496.6666666666665,2650.0,32.15833333333333,36.1,346.0,3.8,87.0,тиха
2017-08-30 12:00:00,1.0996666666666666,1.52,0.25633333333333336,0.352,0.17941666666666667,0.252,0.108325,0.185,0.08685833333333333,0.175,0.042,0.0656,2864.1666666666665,3090.0,37.483333333333334,43.1,346.0,3.1,87.0,тиха
2017-08-30 13:00:00,1.2611666666666668,2.39,0.27175,0.567,0.19166666666666668,0.299,0.11061666666666665,0.234,0.08597500000000001,0.15,0.036375,0.0576,3490.8333333333335,3810.0,48.18333333333334,54.0,345.0,3.3,87.0,тиха
2017-08-30 14:00:00,1.7375,2.46,0.2551666666666667,0.662,0.17983333333333332,0.36,0.09495833333333333,0.16,0.07185000000000001,0.125,0.03685833333333333,0.0716,4141.666666666667,4440.0,59.699999999999996,64.3,346.0,3.6,87.0,тиха
2017-08-30 15:00:00,2.939166666666667,4.5,0.29433333333333334,0.687,0.20091666666666666,0.415,0.11178333333333333,0.163,0.09243333333333333,0.126,0.050475,0.078,4780.833333333333,5190.0,72.125,81.4,346.0,3.6,87.0,тиха
2017-08-30 16:00:00,4.430833333333333,6.49,0.2501666666666667,0.353,0.17058333333333334,0.233,0.10599166666666666,0.176,0.08023333333333334,0.144,0.04259166666666667,0.0829,5827.5,6400.0,95.52499999999999,107.0,346.0,3.8,87.0,тиха
2017-08-30 17:00:00,6.68,9.33,0.241,0.355,0.16841666666666666,0.254,0.092375,0.119,0.07569166666666667,0.102,0.04645833333333333,0.078,6992.5,7480.0,126.16666666666667,139.0,346.0,3.5,87.0,тиха
2017-08-30 18:00:00,8.220833333333333,11.7,0.2544166666666667,0.458,0.18799999999999997,0.418,0.09665,0.169,0.07208333333333333,0.13,0.036975,0.073,7673.333333333333,8030.0,148.58333333333334,162.0,346.0,4.0,87.0,тиха
2017-08-30 19:00:00,9.8475,14.8,0.26725,0.379,0.20666666666666667,0.341,0.10039166666666666,0.168,0.07869166666666667,0.157,0.04400833333333334,0.0828,8290.0,8480.0,167.25,176.0,346.0,3.9,87.0,тиха
2017-08-30 20:00:00,9.13,14.6,0.2795,0.612,0.18025,0.336,0.087175,0.154,0.0712,0.142,0.037975,0.068,7723.333333333333,8150.0,151.41666666666666,171.0,346.0,4.0,87.0,тиха
2017-08-30 21:00:00,8.630833333333333,12.3,0.28058333333333335,0.471,0.19725,0.433,0.09601666666666668,0.192,0.078025,0.161,0.04303333333333333,0.0704,7500.833333333333,7540.0,142.41666666666666,148.0,346.0,3.3,87.0,тиха
2017-08-30 22:00:00,7.177499999999999,13.8,0.24783333333333332,0.408,0.18766666666666665,0.265,0.095675,0.154,0.07460833333333333,0.108,0.04335833333333333,0.0762,7148.333333333333,7380.0,129.16666666666666,137.0,345.0,4.2,87.0,тиха
2017-08-30 23:00:00,6.140000000000001,8.77,0.25325000000000003,0.417,0.19291666666666665,0.327,0.09245833333333332,0.156,0.07085833333333333,0.109,0.03745833333333334,0.0648,6687.5,6840.0,116.16666666666667,122.0,345.0,4.5,87.0,тиха
2017-08-31 00:00:00,4.891666666666667,7.61,0.25033333333333335,0.392,0.18366666666666667,0.269,0.11184166666666667,0.211,0.08640833333333332,0.171,0.044191666666666664,0.067,6091.666666666667,6430.0,99.50833333333333,110.0,346.0,2.6,92.0,тиха
2017-08-31 01:00:00,4.1258333333333335,5.64,0.2800833333333333,0.584,0.20341666666666666,0.302,0.09465833333333333,0.168,0.07655833333333333,0.117,0.043500000000000004,0.0754,5319.166666666667,5770.0,79.31666666666666,90.0,358.0,7.7,92.0,тиха
